name,url,language,description
apprun,https://github.com/yysun/apprun,TypeScript,"AppRun is a JavaScript library for developing high-performance and reliable web applications using the elm inspired architecture, events and components."
awesome,https://github.com/sindresorhus/awesome,,😎 Awesome lists about all kinds of interesting topics
awesome-django,https://github.com/jbwolfe/awesome-django,,A curated list of awesome Django apps and projects.
awesome-feathersjs,https://github.com/feathersjs/awesome-feathersjs,,A list of awesome things related to FeathersJS
awesome-go,https://github.com/avelino/awesome-go,Go,"A curated list of awesome Go frameworks, libraries and software"
awesome-javascript,https://github.com/sorrycc/awesome-javascript,,"🐢 A collection of awesome browser-side  JavaScript libraries, resources and shiny things."
awesome-nodejs-projects,https://github.com/sqreen/awesome-nodejs-projects,,Curated list of awesome open-source applications made with Node.js
awesome-python,https://github.com/vinta/awesome-python,Python,"A curated list of awesome Python frameworks, libraries, software and resources"
awesome-typescript-projects,https://github.com/brookshi/awesome-typescript-projects,TypeScript,"awesome typescript open source projects, includes IDE, Framework, Library, Tool"
aws-lambda-ses-forwarder,https://github.com/arithmetric/aws-lambda-ses-forwarder,JavaScript,Serverless email forwarding using AWS Lambda and SES
bench,https://github.com/frappe/bench,Python,Multi-tenant platform to install and manage Frappe / ERPNext
bhima,https://github.com/IMA-WorldHealth/bhima,JavaScript,A hospital information management application for rural Congolese hospitals
buffalo,https://github.com/gobuffalo/buffalo,Go,Rapid Web Development w/ Go
byob,https://github.com/malwaredllc/byob,Python,BYOB (Build Your Own Botnet)
canvg,https://github.com/canvg/canvg,JavaScript,Javascript SVG parser and renderer on Canvas
centrifugo,https://github.com/centrifugal/centrifugo,Go,Scalable real-time messaging in language-agnostic way
cezerin,https://github.com/cezerin/cezerin,JavaScript,Cezerin is React and Node.js based eCommerce platform.
channels,https://github.com/django/channels,Python,Developer-friendly asynchrony for Django
cheatsheets,https://github.com/Kapeli/cheatsheets,Ruby,Collection of Dash cheat sheets
Complete-Python-Bootcamp,https://github.com/jmportilla/Complete-Python-Bootcamp,Jupyter Notebook,Lectures for Udemy - Complete Python Bootcamp Course
connect,https://github.com/senchalabs/connect,JavaScript,Connect is a middleware layer for Node.js
cookiecutter,https://github.com/cookiecutter/cookiecutter,Python,"A command-line utility that creates projects from cookiecutters (project templates). E.g. Python package projects, jQuery plugin projects."
cookiecutter-django,https://github.com/pydanny/cookiecutter-django,Python,Cookiecutter Django is a framework for jumpstarting production-ready Django projects quickly.
crate,https://github.com/atulmy/crate,JavaScript,"👕👖📦 A sample web and mobile application built with Node, Express, React, React Native, Redux and GraphQL. Very basic replica of stitchfix.com / krate.in (allows users to get monthly subscription of trendy clothes and accessories)."
create-next-app,https://github.com/zeit/create-next-app,,Create Next.js apps in one command
cytoscape.js,https://github.com/cytoscape/cytoscape.js,JavaScript,Graph theory (network) library for visualisation and analysis
d3,https://github.com/d3/d3,JavaScript,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
dash,https://github.com/plotly/dash,JavaScript,Analytical Web Apps for Python. No JavaScript Required.
data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,Python,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines."
desktop,https://github.com/desktop/desktop,TypeScript,Simple collaboration from your desktop
Detectron,https://github.com/facebookresearch/Detectron,Python,"FAIR's research platform for object detection research, implementing popular algorithms like Mask R-CNN and RetinaNet."
django,https://github.com/django/django,Python,The Web framework for perfectionists with deadlines.
django-allauth,https://github.com/pennersr/django-allauth,Python,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication."
django-cms,https://github.com/divio/django-cms,Python,The easy-to-use and developer-friendly CMS
django-haystack,https://github.com/django-haystack/django-haystack,Python,Modular search for Django
django-oscar,https://github.com/django-oscar/django-oscar,Python,Domain-driven e-commerce for Django
djangopackages,https://github.com/djangopackages/djangopackages,Python,"Django Packages is a directory of reusable apps, sites, tools, and more for your Django projects."
ElaAdmin,https://github.com/puikinsh/ElaAdmin,HTML,A clean & completely free Bootstrap 4 admin dashboard template
ember.js,https://github.com/emberjs/ember.js,JavaScript,Ember.js - A JavaScript framework for creating ambitious web applications
erpnext,https://github.com/frappe/erpnext,Python,Open Source ERP built for the web
etcd,https://github.com/etcd-io/etcd,Go,Distributed reliable key-value store for the most critical data of a distributed system
expressCart,https://github.com/mrvautin/expressCart,JavaScript,"A fully functioning Node.js shopping cart with Stripe, PayPal and Authorize.net payments."
fabric,https://github.com/hyperledger/fabric,Go,Read-only mirror of https://gerrit.hyperledger.org/r/#/admin/projects/fabric
fabric-chaincode-node,https://github.com/hyperledger/fabric-chaincode-node,JavaScript,Read-only mirror of https://gerrit.hyperledger.org/r/#/admin/projects/fabric-chaincode-node
fabric-samples,https://github.com/hyperledger/fabric-samples,JavaScript,Read-only mirror of https://gerrit.hyperledger.org/r/#/admin/projects/fabric-samples
fabric-sdk-node,https://github.com/hyperledger/fabric-sdk-node,JavaScript,Read-only mirror of https://gerrit.hyperledger.org/r/#/admin/projects/fabric-sdk-node
falcon,https://github.com/falconry/falcon,Python,"The minimalist web API framework for building reliable, high-performance REST APIs, microservices, proxies, and app backends in Python."
feathers,https://github.com/feathersjs/feathers,JavaScript,"A REST and real-time API layer for Node.js, React Native and the browser."
feathers-chat,https://github.com/feathersjs/feathers-chat,CSS,A Feathers real-time chat application
flask,https://github.com/pallets/flask,Python,The Python micro framework for building web applications.
flowchart.js,https://github.com/adrai/flowchart.js,JavaScript,Draws simple SVG flow chart diagrams from textual representation of the diagram
forum-app,https://github.com/ahmer-yasin/forum-app,JavaScript,Mern Stack form App for discussions and testing
GoJS,https://github.com/NorthwoodsSoftware/GoJS,JavaScript,"JavaScript diagramming library for interactive flowcharts, org charts, design tools, planning tools, visual languages."
Gooey,https://github.com/chriskiehl/Gooey,Python,Turn (almost) any Python command line program into a full GUI application with one line
hackathon-starter,https://github.com/sahat/hackathon-starter,JavaScript,A boilerplate for Node.js web applications
handlebars.js,https://github.com/wycats/handlebars.js,JavaScript,
hapi,https://github.com/hapijs/hapi,JavaScript,:office: Server Framework  for Node.js
heimdall,https://github.com/gojek/heimdall,Go,An enhanced HTTP client for Go
helmet,https://github.com/helmetjs/helmet,JavaScript,Help secure Express apps with various HTTP headers
How-To-Secure-A-Linux-Server,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server,,An evolving how-to guide for securing a Linux server.
httpie,https://github.com/jakubroztocil/httpie,Python,"As easy as httpie /aitch-tee-tee-pie/ 🥧 Modern command line HTTP client – user-friendly curl alternative with intuitive UI, JSON support, syntax highlighting, wget-like downloads, extensions, etc.  https://twitter.com/clihttp"
hug,https://github.com/hugapi/hug,Python,"Embrace the APIs of the future. Hug aims to make developing APIs as simple as possible, but no simpler."
hugo,https://github.com/gohugoio/hugo,Go,The world’s fastest framework for building websites.
influxdb,https://github.com/influxdata/influxdb,Go,"Scalable datastore for metrics, events, and real-time analytics"
